id,exclude,type,query,constraint,text,query_result,heading,format0,lat0,lng0,format1,lat1,lng1,format2,lat2,lng2,format3,lat3,lng3,format4,lat4,lng4,pitch
3342645442,0,frog,Boston Public Library Copley Square,Boston,"Frog's Eye View, Boston Public Library Copley Square, Center of Building with Flag",1,254.554263,"700 Boylston St, Boston, MA 02116, USA",42.34962306,-71.07711263,"35 Harvard Ave, Hyde Park, MA 02136, USA",42.2569909,-71.1220818,,,,,,,,,,19.2317889
3342645516,0,frog,"Copley Square, Boylston Street",Boston,"Frog's Eye View, Copley Square, Boylston Street, Sound Scriber Sign, Windows and Brick Piers",1,340.4802396,"560 Boylston, Boston, MA 02116, USA",42.3502363,-71.07678556,,,,,,,,,,,,,26.38297501
3346182527,0,frog,Boston Public Library Copley Square,Boston,"Frog's Eye View, Boston Public Library Copley Square, 'Advancement of Learning' Inscription",1,252.5772631,"Copley Square, Boston, MA 02116, USA",42.34976897,-71.07718311,,,,,,,,,,,,,19.5305186
3347018754,0,frog,Boston Public Library Copley Square,Boston,"Frog's Eye View, Boston Public Library Copley Square, Sculpture in Foreground, Woman Looking Away",1,252.6667915,"700 Boylston St, Boston, MA 02116, USA",42.3494976,-71.07704963,,,,,,,,,,,,,15.79266315
3364819565,0,frog,Boylston Street and Exeter Street,Boston,"Frog's Eye View, Boylston Street 50 Ft. Intervals, Exeter to Dartmouth Street, Residential Building with Double Hung Windows and Iron Balcony, 1:00 P.M. to 3:30 P.M.",1,317.5552957,,42.34967248,-71.0789349,,,,,,,,,,,,,29.7851722
3364822047,0,50ft_interval,Corner of Dartmouth and Newbury Streets,Boston,"50 ft. Intervals, Dartmouth Street, Facing Corner of Dartmouth and Newbury Streets, Bryant & Stratton School, 9:50 A.M.",1,87.46701207,"Newbury St & Dartmouth St, Boston, MA 02116, USA",42.35094293,-71.07775859,,,,,,,,,,,,,5.838296033
3364822163,0,50ft_interval,Dartmouth Street,Boston,"50 ft. Intervals, Dartmouth Street, Parked Cars, 10:30 to 11:00 A.M.",1,320.1904685,"Dartmouth St, Boston, MA 02116, USA",42.34896945,-71.07679906,,,,,,,,,,,,,7.253358581
3364822543,0,50ft_interval,Dartmouth Street,Boston,"50 ft. Intervals, Dartmouth Street, Taxi Stand in front of Sheraton Plaza, 10:30 to 11:00 A.M.",1,334.0586818,"Dartmouth St, Boston, MA 02116, USA",42.34856255,-71.0766019,,,,,,,,,,,,,7.160565205
3364822679,0,50ft_interval,Corner of Boylston and Dartmouth Streets,Boston,"50 ft. Intervals, Corner of Dartmouth and Boylston Streets, Boston Public Library, 9:00 A.M.",1,210.4391038,"Dartmouth St & Boylston St, Boston, MA 02116, USA",42.35010061,-71.07734566,,,,,,,,,,,,,9.851173092
3364822797,0,50ft_interval,Corner of Boylston and Dartmouth Streets,Boston,"50 ft. Intervals, Corner of Dartmouth and Boylston Streets, Boston Public Library, Subway Stop at Right, 9:05 A.M.",1,210.4391038,"Dartmouth St & Boylston St, Boston, MA 02116, USA",42.35010061,-71.07734566,,,,,,,,,,,,,9.851173092
3364822959,0,50ft_interval,"Boston Public Library, Dartmouth Street",Boston,"50 ft. Intervals, Dartmouth Street, Boston Public Library and Old South Church, 9:15 A.M.",1,205.738354,"700 Boylston St, Boston, MA 02116, USA",42.35045309,-71.07751652,"700 Boylston St, Boston, MA 02116, USA",42.3494163,-71.0788284,,,,,,,,,,6.470117695
3364823237,0,50ft_interval,"Dartmouth Street, Old South Church",Boston,"50 ft. Intervals, Dartmouth Street, Old South Church, Northeast Side, Boston Public Library in Background, 9:35 A.M.",1,187.2854669,"645 Boylston St, Boston, MA 02116, USA",42.35094293,-71.07775859,,,,,,,,,,,,,7.290101337
3364823355,0,50ft_interval,Corner of Dartmouth and Newbury Streets,Boston,"50 ft. Intervals, Corner of Dartmouth and Newbury Streets, Bryant & Stratton School, 9:45 A.M.",1,187.8524252,"Newbury St & Dartmouth St, Boston, MA 02116, USA",42.35089112,-71.07773531,,,,,,,,,,,,,4.094503884
3364848803,0,50ft_interval,Dartmouth Street,Boston,"50 ft. Intervals, Dartmouth Street, Brick Sidewalk and Parked Cars, 10:00 A.M.",1,182.5058619,"Dartmouth St, Boston, MA 02116, USA",42.35126591,-71.07791336,,,,,,,,,,,,,0.193384028
3364848947,0,,Dartmouth Street and Commenwealth Avenue,Boston,"Dartmouth Street Between Commonwealth Avenue and Newbury Street, Facing South, Right Side of Street, 3:00 P.M.",1,148.7728433,"Commonwealth Avenue & Dartmouth St, Boston, MA 02116, USA",42.35188723,-71.07825698,"Dartmouth St & Commonwealth Avenue, Boston, MA 02116, USA",42.3520481,-71.078299,,,,,,,,,,7.881214035
3364849099,0,,Dartmouth Street and Commenwealth Avenue,Boston,"Dartmouth Street Between Commonwealth Avenue and Newbury Street, Facing South, Center of Street, 3:00 P.M.",1,148.7728433,"Commonwealth Avenue & Dartmouth St, Boston, MA 02116, USA",42.3520401,-71.07833424,"Dartmouth St & Commonwealth Avenue, Boston, MA 02116, USA",42.3520481,-71.078299,,,,,,,,,,7.881214035
3364849255,0,,Dartmouth Street and Commenwealth Avenue,Boston,"Dartmouth Street Between Commonwealth Avenue and Newbury Street, Facing South, Left Side of Street, 3:00 P.M.",1,165.6750215,"Commonwealth Avenue & Dartmouth St, Boston, MA 02116, USA",42.35140341,-71.07798315,"Dartmouth St & Commonwealth Avenue, Boston, MA 02116, USA",42.3520481,-71.078299,,,,,,,,,,7.406786685
3364849813,0,50ft_interval,Corner of Huntington Avenue and Exeter Street,Boston,"50 ft. Intervals, Approaching Corner of Huntington Avenue and Exeter Street, Facing Northeast, Series on a Sunny Day, 1:00 P.M. to 2:30 P.M.",1,57.05909451,"Huntington Ave & Blagden St, Boston, MA 02116, USA",42.34797645,-71.07881144,"Blagden St & Huntington Ave, Boston, MA 02116, USA",42.349144,-71.0773257,,,,,,,,,,8.711660508
3364850253,0,,"Dartmouth Street, Copley Square",Boston,"Dartmouth Street, Facing South from Police Box, Copley Square, 12:30 P.M.",1,160.446725,"Dartmouth St, Boston, MA 02116, USA",42.34941337,-71.07700782,,,,,,,,,,,,,8.124538002
3364865499,0,50ft_interval,Corner of Huntington Avenue and Exeter Street,Boston,"50 ft. Intervals, Approaching Corner of Huntington Avenue and Exeter Street, Facing Northeast, Series on a Sunny Day, 1:00 P.M. to 2:30 P.M.",1,42.41795009,"Exeter St & Huntington Ave, Boston, MA 02116, USA",42.34791718,-71.07875405,,,,,,,,,,,,,8.358990477
3364865645,0,50ft_interval,Corner of Huntington Avenue and Exeter Street,Boston,"50 ft. Intervals, Corner of Huntington Avenue and Exeter Street, Facing Northeast, Series on a Sunny Day, 1:00 P.M. to 2:30 P.M.",1,50.01010527,,42.34791718,-71.07875405,,,,,,,,,,,,,6.486527574
3364865811,0,50ft_interval,Corner of Huntington Avenue and Exeter Street,Boston,"50 ft. Intervals, Corner of Huntington Avenue and Exeter Street, Facing Northeast, Series on a Sunny Day, 1:00 P.M. to 2:30 P.M.",1,50.01010527,"Exeter St & Huntington Ave, Boston, MA 02116, USA",42.34791718,-71.07875405,,,,,,,,,,,,,6.486527574
3364865831,0,frog,Boylston Street and Exeter Street,Boston,"Frog's Eye View, Boylston Street 50 Ft. Intervals, Exeter to Dartmouth Street, Corners of Two Buildings with Sky in between, 1:00 P.M. to 3:30 P.M.",1,6.971642132,"Exeter St & Boylston St, Boston, MA 02116, USA",42.34964055,-71.07906283,,,,,,,,,,,,,35.49698386
3364866027,0,50ft_interval,"Huntington Avenue, Copley Hotel",Boston,"50 ft. Intervals, Huntington Avenue, Facing Northeast, Copley Hotel, Series on a Sunny Day, 1:00 P.M. to 2:30 P.M.",1,47.20577636,"47 Huntington Ave, Boston, MA 02116, USA",42.34836692,-71.07829454,,,,,,,,,,,,,6.338559785
3364866181,0,50ft_interval,Huntington Avenue and Storyville Bar,Boston,"50 ft. Intervals, Huntington Avenue, Facing Northeast, Storyville Bar, Trinity Church in Background, Series on a Sunny Day, 1:00 P.M. to 2:30 P.M.",1,56.39986103,"Huntington Ave, Boston, MA, USA",42.34778811,-71.07891034,,,,,,,,,,,,,8.295208586
3364866469,0,50ft_interval,"Huntington Avenue, Trinity Church",Boston,"50 ft. Intervals, Huntington Avenue, Facing Trinity Church and Copley Square, Series on a Sunny Day, 1:00 P.M. to 2:30 P.M.",1,53.08303973,,42.34843215,-71.07821544,,,,,,,,,,,,,3.581733404
3364880019,0,frog,Boylston Street and Exeter Street,Boston,"Frog's Eye View, Boylston Street 50 Ft. Intervals, Exeter to Dartmouth Street, Upper Facade of Building with Pilasters, 1:00 P.M. to 3:30 P.M.",1,,"Exeter St & Boylston St, Boston, MA 02116, USA",42.349507,-71.0794992,,,,,,,,,,,,,
