,id,exclude,type,query,constraint,text,query_result,heading,format0,lat0,lng0,format1,lat1,lng1,format2,lat2,lng2,format3,lat3,lng3,format4,lat4,lng4,pitch
0,3341809309,0,frog,"Copley Square, Boylston Street",Boston,"Frog's Eye View, Copley Square, Boylston Street, Baker's Plays Sign, Buildings of Unequal Height, 3:00 P.M.",1,344.1686078,"560 Boylston, Boston, MA 02116, USA",42.3503881,-71.07624052,,,,,,,,,,,,,11.43770659
1,3341809381,0,frog,"Copley Square, Boylston Street",Boston,"Frog's Eye View, Copley Square, Boylston Street, Building with Arched Pediment, 11:00 A.M.",1,336.3503208,"560 Boylston, Boston, MA 02116, USA",42.3503881,-71.07624052,,,,,,,,,,,,,22.88088639
2,3341809503,0,frog,"Copley Square, Boylston Street",Boston,"Frog's Eve View, Copley Square, Boylston Street, Robert C. Vose Paintings Sign, Bay Windows, 11:30 A.M.",1,335.8700398,"Copley Square, Boston, MA 02116, USA",42.35043504,-71.07606593,,,,,,,,,,,,,21.31043221
3,3341809855,0,frog,"Copley Square, Boylston Street",Boston,"Frog's Eve View, Copley Square, Boylston Street, Double Windows, Arched Windows, Corbels",1,338.4270605,"Copley Square, Boston, MA 02116, USA",42.35051746,-71.07577336,,,,,,,,,,,,,25.83673264
4,3341810009,0,frog,"Copley Square, Boylston Street",Boston,"Frog's Eve View, Copley Square, Boylston Street, Bay Windows, Pointed Arches over Double Hung Windows",1,338.4270605,"560 Boylston, Boston, MA 02116, USA",42.35053299,-71.07571675,,,,,,,,,,,,,25.83673264
5,3341810139,0,frog,"Copley Square, Boylston Street",Boston,"Frog's Eye View, Copley Square, Boylston Street, Wrought Iron Balconies between Bay Windows",1,338.4270605,"560 Boylston, Boston, MA 02116, USA",42.35020266,-71.07690158,,,,,,,,,,,,,25.83673264
6,3341810417,0,frog,Boston Public Library Copley Square,Boston,"Frog's Eye View, Boston Public Library Copley Square, Left Building Corner",1,,"700 Boylston St, Boston, MA 02116, USA",42.3494163,-71.0788284,,,,,,,,,,,,,
7,3341810517,0,frog,Boston Public Library Copley Square,Boston,"Frog's Eye View, Boston Public Library Copley Square, 'of the City of Boston' inscription",1,,"Copley Square, Boston, MA 02116, USA",42.350008,-71.0765558,,,,,,,,,,,,,
8,3341810605,0,frog,Boston Public Library Copley Square,Boston,"Frog's Eye View, Boston Public Library Copley Square, Sculpture in foreground, Hooded Woman",1,,"700 Boylston St, Boston, MA 02116, USA",42.3494163,-71.0788284,,,,,,,,,,,,,
9,3341810877,0,frog,"Copley Square, Boylston Street",Boston,"Frog's Eye View, Copley Square, Boylston Street, Costume and Wig Sign, Bay Window",1,,"560 Boylston, Boston, MA 02116, USA",42.3499239,-71.0761075,,,,,,,,,,,,,
