id,edge_actual,edge_predicted,lat0,lng0
3401066883,1,0,42.36093483,-71.07288811
3385503818,1,0,42.35217717,-71.09011323
3403989557,1,0,42.35211721,-71.08988092
3408035356,0,0,42.349653,-71.0779348
3365795426,0,0,42.34807994,-71.07860068
3401817422,0,0,42.3432702,-71.0784884
3442265788,0,0,0.0,0.0
3442159302,0,0,42.3388111,-71.0765188
3441908946,0,0,0.0,0.0
3385503352,0,0,42.3549544,-71.0654886
3427641356,0,0,42.3499893,-71.0754961
3384604519,0,0,42.35751356,-71.06337454
3471969254,0,0,42.3432912,-71.1026167
3410363488,0,0,0.0,0.0
3381944051,0,0,42.33745563,-71.07563976
3424180692,0,0,42.3380473,-71.0706345
3384372107,0,0,42.35838167,-71.06890538
3365761050,0,0,42.34913786,-71.07732273
3385552482,0,0,42.35215263,-71.06263272
3424097900,0,0,42.3656226,-71.0540359
3387787179,0,0,42.34907018,-71.07773657
3442278082,0,0,42.3513845,-71.0554112
3430178960,0,0,0.0,0.0
3381610337,0,0,42.34983173,-71.07474557
3440954059,0,0,42.40916644,-71.13497504
3384343549,0,0,42.35986822,-71.06152605
3450516005,0,0,42.351329,-71.1183064
3424360072,0,0,42.3489705,-71.0975491
3382004143,0,0,0.0,0.0
3404073619,0,0,0.0,0.0
3404536996,0,0,42.375208,-71.144974
3382460488,0,0,42.35243759,-71.06260012
3401079913,0,0,42.3167687,-71.0646705
3441358739,0,0,42.3602285,-71.0547722
3441373561,0,0,0.0,0.0
3441172149,0,0,42.3572942,-71.0626847
3446017534,0,0,42.350008,-71.0765558
3472002820,0,0,0.0,0.0
3365057001,0,0,42.35224067,-71.07280091
3426877197,0,0,42.350008,-71.0765558
3441798320,0,0,42.3612481,-71.0653205
3401213877,0,0,42.3452915,-71.07836
3489885702,0,0,0.0,0.0
3420722259,0,0,0.0,0.0
3401728948,0,0,42.33820536,-71.1080208
3407330717,0,0,42.350008,-71.0765558
3441768476,0,0,42.37037396,-71.0431517
3365796750,0,0,42.34962306,-71.07711263
3424262394,0,0,42.3540566,-71.0613557
3382525400,0,0,42.35799983,-71.05794606
3401189393,0,0,42.3493407,-71.0751261
3424477618,0,0,42.3482223,-71.0460252
3381681885,0,0,42.35529775,-71.06067913
3404718268,0,0,42.3581353,-71.0950313
3424417472,0,0,42.4116462,-71.1014141
3489158593,0,0,42.3489346,-71.0743578
3384669577,0,0,42.35252947,-71.06754861
3388515492,0,0,42.35020266,-71.07690158
3384373855,0,0,42.35838167,-71.06890538
3365837260,0,0,42.36506466,-71.10318826
3441886770,0,0,42.3555112,-71.0602986
3384545133,0,0,42.3594167,-71.0636954
3404047999,0,0,42.3559219,-71.0549768
3441907526,0,0,42.3622273,-71.0862274
3401012585,0,0,42.34531676,-71.08165155
3489141179,0,0,42.3432912,-71.1026167
3404118035,0,0,42.3504997,-71.1053991
3404821216,0,0,42.360091,-71.09416
3381608953,0,0,42.3497106,-71.07524795
3381881943,0,0,42.35878857,-71.05791717
3403796293,0,0,42.3520448,-71.0734495
3421567000,0,0,42.360003,-71.0628474
3384605779,0,0,42.3549544,-71.0654886
3471143845,0,0,0.0,0.0
3441388943,0,0,42.3588422,-71.0578337
3404800054,0,0,42.3568987,-71.0514773
3370619641,0,0,42.3499007,-71.07801789
3441106723,0,0,42.3639086,-71.1160815
3424416590,0,0,42.3650239,-71.0554801
3420570273,0,0,42.3616212,-71.0563864
3442158662,0,0,42.3429554,-71.0717352
3404606444,0,0,42.3492917,-71.0836492
3365108127,0,0,42.35210575,-71.07331604
3365761334,0,0,42.34791718,-71.07875405
3385159322,0,0,42.35906241,-71.06507206
3409681687,0,0,42.350008,-71.0765558
3365671510,0,0,42.34797645,-71.07881144
3427680554,0,0,42.350008,-71.0765558
3450337621,0,0,42.350008,-71.0765558
3441942482,0,0,42.3581816,-71.0571228
3404509406,0,0,42.3580632,-71.0600142
3401012237,0,0,42.36601304,-71.06007061
3404584656,0,0,42.3520448,-71.0734495
3424086918,0,0,42.3653163,-71.054277
3384726571,0,0,42.35556439,-71.06058483
3365836310,0,0,42.34941337,-71.07700782
3401974214,0,0,42.3367129,-71.0771654
3381641609,0,0,42.35215263,-71.06263272
3341809381,0,0,42.3503881,-71.07624052
3384499565,0,0,42.35934429,-71.0653181
3445868954,0,0,42.3505049,-71.0757818
3385359074,0,0,42.35790004,-71.06987145
3424360552,0,0,42.3639086,-71.1160815
3365058209,0,0,42.35113264,-71.07685275
