id,landmark_actual,landmark_predicted,lat0,lng0
3385173052,1,1,42.35885709,-71.06581044
3371446764,1,1,42.34994987,-71.07782501
3401188899,1,1,42.35256966,-71.07615718
3384424055,1,1,42.35697216,-71.07010272
3489079775,1,1,42.3520452,-71.0711798
3468686695,1,0,42.3534963,-71.0714907
3382499470,1,1,42.35430012,-71.06179769
3421453886,1,1,42.3554049,-71.0580762
3365109049,1,1,42.3523605,-71.0723363
3389972523,1,1,42.35027129,-71.07666244
3424390606,1,1,42.3511187,-71.0648877
3451149428,1,0,42.3502705,-71.0779719
3385358880,1,1,42.35884196,-71.06874304
3364848803,1,1,42.35126591,-71.07791336
3429421339,1,0,42.3512376,-71.073068
3384423897,1,0,42.35724199,-71.06470776
3404799942,1,1,42.3626414,-71.0581147
3441852288,1,0,42.3367129,-71.0771654
3424262178,1,1,42.36528521,-71.0542385
3385541848,1,1,42.35525578,-71.06005926
3442158662,1,1,42.3429554,-71.0717352
3389939173,1,1,42.35062766,-71.07535631
3423304313,1,0,42.3610208,-71.0569512
3400923347,1,1,42.34109307,-71.07011552
3401170113,1,1,42.35366861,-71.0757509
3441072709,1,1,42.355195,-71.0601338
3381944617,1,1,42.3364517,-71.0770265
3382599924,1,1,42.35240033,-71.06259375
3385186564,1,1,42.35838167,-71.06890538
3403906725,1,1,42.3657551,-71.0535321
3423289979,1,1,42.3640642,-71.0544858
3444990655,1,0,42.3500943,-71.0773313
3365913180,1,0,42.35269713,-71.07119749
3430254764,1,0,42.350693,-71.0800771
3381943879,1,1,42.34020272,-71.07168036
3385140548,1,1,42.35801593,-71.06880397
3382351884,1,1,42.35220801,-71.07292511
3401231641,1,0,42.3599789,-71.0567647
3385516616,1,1,42.35556439,-71.06058483
3342643862,1,1,42.35032584,-71.07646708
3442050592,1,1,42.35447142,-71.07597053
3364880019,1,1,42.349507,-71.0794992
3384545815,1,1,42.36094831,-71.0678457
3385484394,1,0,42.35251927,-71.06759811
3423583741,1,1,42.3407195,-71.0776872
3404583332,1,1,42.3512376,-71.073068
3371455480,1,1,42.34994987,-71.07782501
3423471269,1,1,42.3500943,-71.0773313
3384530963,1,0,42.35707749,-71.06543512
3381682407,1,1,42.35529775,-71.06067913
3440954527,1,1,42.3593019,-71.0650441
3469597076,1,1,42.3524309,-71.0736415
3403889405,0,0,0.0,0.0
3424264018,0,0,42.3821176,-71.0902924
3404858886,0,1,42.348716,-71.0730411
3365836864,0,1,42.36487088,-71.10285993
3385503352,0,0,42.3549544,-71.0654886
3472041986,0,0,42.3432912,-71.1026167
3471176127,0,0,42.3432912,-71.1026167
3404820746,0,0,42.3659256,-71.0634299
3409685659,0,0,42.350008,-71.0765558
3471872686,0,0,42.3432912,-71.1026167
3388556200,0,0,42.34999498,-71.07703326
3441188627,0,1,42.3459906,-71.1068376
3404131729,0,0,42.3491317,-71.0720184
3441273041,0,1,42.36235888,-71.06201438
3382822136,0,0,0.0,0.0
3444998065,0,0,42.350008,-71.0765558
3420851479,0,1,42.3581721,-71.0623935
3404010211,0,1,42.3504148,-71.0674664
3423424697,0,1,42.375122,-71.1025281
3384343549,0,1,42.35986822,-71.06152605
3371498128,0,1,42.350124,-71.07566
3471166913,0,0,42.3432912,-71.1026167
3382004143,0,0,0.0,0.0
3429369095,0,0,0.0,0.0
3385420020,0,0,42.35754919,-71.06312323
3382002667,0,0,0.0,0.0
3423355177,0,1,42.3783445,-71.0679867
3442111202,0,1,42.3664004,-71.1054082
3424279960,0,0,0.0,0.0
3446017534,0,0,42.350008,-71.0765558
3401870770,0,0,42.3493651,-71.0601062
3427688190,0,1,42.350008,-71.0765558
3441317193,0,0,42.3888566,-71.1193982
3424360750,0,1,42.3427153,-71.0848001
3410509870,0,0,0.0,0.0
3450376715,0,0,42.350008,-71.0765558
3423425531,0,1,42.3600327,-71.0978469
3440954951,0,0,42.3388454,-71.1077519
3420738555,0,1,42.3581721,-71.0623935
3489158593,0,1,42.3489346,-71.0743578
3440932805,0,1,42.3484952,-71.0765392
3407196135,0,0,42.3486664,-71.0782238
3426869041,0,0,42.350008,-71.0765558
3403709487,0,0,0.0,0.0
3385463908,0,0,42.35369218,-71.07145894
3489141179,0,0,42.3432912,-71.1026167
3441189395,0,1,42.3639798,-71.0604784
3402036300,0,0,0.0,0.0
3381608953,0,1,42.3497106,-71.07524795
3384500301,0,1,42.35940345,-71.06158385
3404520842,0,0,42.3574758,-71.0617214
3365671348,0,1,42.34788511,-71.07882718
3365796944,0,1,42.34913786,-71.07732273
3421678026,0,1,42.3581721,-71.0623935
3404048427,0,1,42.3466902,-71.0997948
3442072218,0,0,42.4217245,-71.1264126
3471846414,0,1,42.3511435,-71.0730195
3441388769,0,0,42.3766154,-71.1230124
3404132123,0,0,42.3498492,-71.0748
3364938311,0,1,42.34901436,-71.07723836
3427683182,0,1,42.350008,-71.0765558
3424450962,0,1,42.3806841,-71.1412809
3472044880,0,0,42.3432912,-71.1026167
3489908672,0,0,42.3432912,-71.1026167
3442234744,0,0,0.0,0.0
3451157704,0,0,42.350008,-71.0765558
3471946290,0,1,42.3499893,-71.0754961
3427669658,0,0,42.350008,-71.0765558
3387812533,0,1,42.34886348,-71.07847203
3421482684,0,1,42.3820375,-71.1127169
3424136758,0,0,42.3941659,-71.0870226
3381533451,0,0,42.35007074,-71.07492774
3423552905,0,1,42.3639086,-71.1160815
3441329929,0,1,42.3486464,-71.0827003
3403988687,0,0,0.0,0.0
3420698531,0,0,42.3628741,-71.0900971
