id,district_actual,district_predicted,lat0,lng0
3402036648,1,1,42.3650239,-71.0554801
3384374053,1,1,42.35801593,-71.06880397
3388502062,1,0,42.35032584,-71.07646708
3385552482,1,1,42.35215263,-71.06263272
3401188899,1,0,42.35256966,-71.07615718
3384545537,1,1,42.35772875,-71.06663843
3441107685,1,0,42.3407195,-71.0776872
3365879150,1,1,42.35229973,-71.07257364
3424496042,1,0,42.3612481,-71.0653205
3469471498,1,0,42.3528627,-71.073843
3429333399,1,0,42.3500943,-71.0773313
3442049338,1,1,42.3407195,-71.0776872
3384544963,1,0,42.35803364,-71.06509534
3381681885,1,1,42.35529775,-71.06067913
3381821629,1,1,42.3574093,-71.0583299
3429421339,1,0,42.3512376,-71.073068
3441887036,1,1,42.3555112,-71.0602986
3384372505,1,1,42.35804665,-71.0685321
3404699952,1,1,42.3657551,-71.0535321
3421679374,1,1,42.3602285,-71.0547722
3382782668,1,1,42.35116673,-71.06762144
3404799942,1,0,42.3626414,-71.0581147
3424390770,1,0,42.3533817,-71.0642421
3381706965,1,0,42.35685101,-71.05898589
3384402605,1,1,42.35786106,-71.07029886
3421547404,1,1,42.3407195,-71.0776872
3424086918,1,0,42.3653163,-71.054277
3342643942,1,0,42.35034262,-71.07640713
3469495324,1,0,42.3534963,-71.0714907
3385359074,1,1,42.35790004,-71.06987145
3468700779,1,0,42.3511255,-71.0802819
3441144657,1,1,42.3407195,-71.0776872
3401066183,1,0,42.35286975,-71.07871366
3404699848,1,1,42.3657551,-71.0535321
3424375306,1,0,42.3511483,-71.0679455
3468735545,1,0,42.3505046,-71.0825803
3404822126,1,1,42.35143419,-71.06798324
3381799009,1,1,42.35323449,-71.06255239
3382550390,1,1,42.35088081,-71.06299246
3384359013,1,1,42.35883182,-71.0690814
3365930758,1,1,42.35229973,-71.07257364
3381943473,1,0,42.34109307,-71.07011552
3471862584,1,0,42.3512376,-71.073068
3384326095,1,1,42.35801593,-71.06880397
3403906725,1,1,42.3657551,-71.0535321
3381706663,1,0,42.35698254,-71.05868461
3384530209,1,1,42.35884762,-71.06556333
3489947022,1,0,42.34926142,-71.08032725
3382639522,1,0,42.35765189,-71.05814735
3401755094,1,0,42.34242,-71.0722775
3441144103,1,1,42.35240033,-71.06259375
3381906415,1,1,42.34162787,-71.06882328
3381641257,1,0,42.35171877,-71.06273773
3471273559,1,1,42.3520452,-71.0711798
3401992744,1,0,42.3534052,-71.0830415
3385159202,1,0,42.36030063,-71.07081909
3430211996,1,0,42.3512376,-71.073068
3441235349,1,1,42.3612481,-71.0653205
3489836830,1,0,42.3520452,-71.0711798
3370639387,1,1,42.34994987,-71.07782501
3381821169,1,1,42.3563674,-71.0594644
3468768957,1,0,42.3524309,-71.0736415
3385173224,1,1,42.35886549,-71.06689215
3469603964,1,0,42.3524309,-71.0736415
3401870310,1,0,42.34344483,-71.06851093
3471010385,1,0,42.3524309,-71.0736415
3385202482,1,1,42.35814059,-71.06774927
3441867028,0,0,42.356357,-71.0623345
3402178630,0,0,0.0,0.0
3426755043,0,1,42.3493407,-71.0751261
3365795426,0,0,42.34807994,-71.07860068
3388622786,0,0,42.34867303,-71.07912337
3441908946,0,0,0.0,0.0
3385503352,0,0,42.3549544,-71.0654886
3472041986,0,0,42.3432912,-71.1026167
3407148951,0,0,42.3385478,-71.093693
3385503942,0,0,42.35320047,-71.09060707
3404749086,0,0,42.3581353,-71.0950313
3468716287,0,0,42.3499074,-71.0862162
3446026606,0,0,0.0,0.0
3420699733,0,0,42.3427153,-71.0848001
3441188627,0,1,42.3459906,-71.1068376
3365761050,0,0,42.34913786,-71.07732273
3402062738,0,0,0.0,0.0
3404131729,0,0,42.3491317,-71.0720184
3489107885,0,0,42.3432912,-71.1026167
3404119057,0,1,42.3500289,-71.0703479
3382352792,0,0,42.35018365,-71.07498498
3401973586,0,0,42.3493407,-71.0751261
3420851479,0,0,42.3581721,-71.0623935
3384343989,0,0,42.3612916,-71.0738449
3421678232,0,1,42.3581721,-71.0623935
3471166913,0,0,42.3432912,-71.1026167
3364866181,0,0,42.34778811,-71.07891034
3365543190,0,0,42.34996995,-71.07728117
3403697661,0,0,42.3011317,-71.1045757
3442111202,0,0,42.3664004,-71.1054082
3384650627,0,0,42.3541614,-71.0704078
3424416392,0,1,42.36690952,-71.0351929
3441317193,0,0,42.3888566,-71.1193982
3381609109,0,1,42.35004312,-71.07415203
3471038495,0,1,42.3511435,-71.0730195
3424360262,0,1,42.3496291,-71.0718319
3401917492,0,0,0.0,0.0
3404048707,0,1,42.3402365,-71.1058683
3385312956,0,0,42.35930986,-71.06161219
3402179624,0,0,42.3574758,-71.0617214
3385139944,0,0,0.0,0.0
3430159540,0,0,0.0,0.0
3489859426,0,0,42.3432912,-71.1026167
3401133791,0,0,42.34212937,-71.06300774
3424290356,0,0,0.0,0.0
3441907526,0,0,42.3622273,-71.0862274
3404820446,0,0,42.3568987,-71.0514773
3423566675,0,1,42.3537418,-71.0626963
3404654320,0,0,42.3656132,-71.0095602
3441273567,0,0,0.0,0.0
3445223175,0,0,0.0,0.0
3404606444,0,1,42.3492917,-71.0836492
3401784794,0,0,42.36080706,-71.09603918
3384737287,0,0,42.1815168,-71.20344525
3441330455,0,0,0.0,0.0
3424233314,0,0,42.3810465,-71.0692911
3424209328,0,0,42.36822,-71.0566469
3420757513,0,0,42.3592353,-71.0593896
3365837444,0,0,42.36506466,-71.10318826
3404509618,0,0,42.3672563,-71.0559509
3472044880,0,0,42.3432912,-71.1026167
3382821146,0,1,42.3581491,-71.0625318
3401817122,0,0,42.3390314,-71.0682414
3441743724,0,0,42.3203018,-71.0816585
3469332100,0,1,42.3473449,-71.082503
3471202045,0,0,42.3432912,-71.1026167
3423401511,0,0,42.3733224,-71.0977003
3471946290,0,0,42.3499893,-71.0754961
3404930284,0,0,42.3495263,-71.0722125
3427669658,0,0,42.350008,-71.0765558
3387812533,0,1,42.34886348,-71.07847203
